year,month,day,amount_mm,days_agg,quality,date
2019,1,1,0.0,0,N,2019-01-01
2019,1,2,0.0,0,N,2019-01-02
2019,1,3,0.0,0,N,2019-01-03
2019,1,4,0.0,0,N,2019-01-04
2019,1,5,0.0,0,N,2019-01-05
2019,1,6,5.0,1,N,2019-01-06
2019,1,7,0.0,0,N,2019-01-07
2019,1,8,0.0,0,N,2019-01-08
2019,1,9,0.0,0,N,2019-01-09
2019,1,10,0.0,0,N,2019-01-10
2019,1,11,0.0,0,N,2019-01-11
2019,1,12,0.0,0,N,2019-01-12
2019,1,13,0.0,0,N,2019-01-13
2019,1,14,0.0,0,N,2019-01-14
2019,1,15,0.0,0,N,2019-01-15
2019,1,16,0.0,0,N,2019-01-16
2019,1,17,0.0,0,N,2019-01-17
2019,1,18,0.0,0,N,2019-01-18
2019,1,19,0.0,0,N,2019-01-19
2019,1,20,0.0,0,N,2019-01-20
2019,1,21,0.0,0,N,2019-01-21
2019,1,22,0.0,0,N,2019-01-22
2019,1,23,0.0,0,N,2019-01-23
2019,1,24,0.0,0,N,2019-01-24
2019,1,25,0.0,0,N,2019-01-25
2019,1,26,0.0,0,N,2019-01-26
2019,1,27,0.0,0,N,2019-01-27
2019,1,28,0.0,0,N,2019-01-28
2019,1,29,0.0,0,N,2019-01-29
2019,1,30,0.0,0,N,2019-01-30
2019,1,31,0.0,0,N,2019-01-31
2019,2,1,0.0,0,Y,2019-02-01
2019,2,2,0.0,0,Y,2019-02-02
2019,2,3,0.0,0,Y,2019-02-03
2019,2,4,7.0,1,Y,2019-02-04
2019,2,5,19.0,1,Y,2019-02-05
2019,2,6,5.0,1,Y,2019-02-06
2019,2,7,0.0,0,Y,2019-02-07
2019,2,8,0.0,0,Y,2019-02-08
2019,2,9,6.0,1,Y,2019-02-09
2019,2,10,0.0,0,Y,2019-02-10
2019,2,11,0.0,0,Y,2019-02-11
2019,2,12,0.0,0,Y,2019-02-12
2019,2,13,0.0,0,Y,2019-02-13
2019,2,14,0.0,0,Y,2019-02-14
2019,2,15,0.0,0,Y,2019-02-15
2019,2,16,0.0,0,Y,2019-02-16
2019,2,17,0.0,0,Y,2019-02-17
2019,2,18,0.0,0,Y,2019-02-18
2019,2,19,0.0,0,Y,2019-02-19
2019,2,20,0.0,0,Y,2019-02-20
2019,2,21,0.0,0,Y,2019-02-21
2019,2,22,0.0,0,Y,2019-02-22
2019,2,23,0.0,0,Y,2019-02-23
2019,2,24,0.0,0,Y,2019-02-24
2019,2,25,0.0,0,Y,2019-02-25
2019,2,26,0.0,0,Y,2019-02-26
2019,2,27,3.8,1,Y,2019-02-27
2019,2,28,0.0,0,Y,2019-02-28
2019,3,1,0.0,0,Y,2019-03-01
2019,3,2,0.0,0,Y,2019-03-02
2019,3,3,0.0,0,Y,2019-03-03
2019,3,4,0.0,0,Y,2019-03-04
2019,3,5,0.0,0,Y,2019-03-05
2019,3,6,0.0,0,Y,2019-03-06
2019,3,7,6.0,1,Y,2019-03-07
2019,3,8,0.0,0,Y,2019-03-08
2019,3,9,0.0,0,Y,2019-03-09
2019,3,10,0.0,0,Y,2019-03-10
2019,3,11,0.0,0,Y,2019-03-11
2019,3,12,0.0,0,Y,2019-03-12
2019,3,13,0.0,0,Y,2019-03-13
2019,3,14,0.0,0,Y,2019-03-14
2019,3,15,0.0,0,Y,2019-03-15
2019,3,16,0.0,0,Y,2019-03-16
2019,3,17,0.0,0,Y,2019-03-17
2019,3,18,17.0,1,Y,2019-03-18
2019,3,19,0.0,0,Y,2019-03-19
2019,3,20,0.0,0,Y,2019-03-20
2019,3,21,0.0,0,Y,2019-03-21
2019,3,22,0.0,0,Y,2019-03-22
2019,3,23,0.0,0,Y,2019-03-23
2019,3,24,0.0,0,Y,2019-03-24
2019,3,25,0.0,0,Y,2019-03-25
2019,3,26,0.0,0,Y,2019-03-26
2019,3,27,0.0,0,Y,2019-03-27
2019,3,28,0.6,1,Y,2019-03-28
2019,3,29,0.0,0,Y,2019-03-29
2019,3,30,39.0,1,Y,2019-03-30
2019,3,31,0.0,0,Y,2019-03-31
2019,4,1,0.0,0,Y,2019-04-01
2019,4,2,0.0,0,Y,2019-04-02
2019,4,3,0.0,0,Y,2019-04-03
2019,4,4,0.0,0,Y,2019-04-04
2019,4,5,0.4,1,Y,2019-04-05
2019,4,6,0.0,0,Y,2019-04-06
2019,4,7,0.0,0,Y,2019-04-07
2019,4,8,0.0,0,Y,2019-04-08
2019,4,9,0.0,0,Y,2019-04-09
2019,4,10,0.0,0,Y,2019-04-10
2019,4,11,0.0,0,Y,2019-04-11
2019,4,12,0.0,0,Y,2019-04-12
2019,4,13,0.0,0,Y,2019-04-13
2019,4,14,0.0,0,Y,2019-04-14
2019,4,15,0.0,0,Y,2019-04-15
2019,4,16,0.0,0,Y,2019-04-16
2019,4,17,0.0,0,Y,2019-04-17
2019,4,18,0.0,0,Y,2019-04-18
2019,4,19,0.0,0,Y,2019-04-19
2019,4,20,0.0,0,Y,2019-04-20
2019,4,21,0.0,0,Y,2019-04-21
2019,4,22,0.0,0,Y,2019-04-22
2019,4,23,14.0,1,Y,2019-04-23
2019,4,24,0.0,0,Y,2019-04-24
2019,4,25,0.0,0,Y,2019-04-25
2019,4,26,0.0,0,Y,2019-04-26
2019,4,27,0.0,0,Y,2019-04-27
2019,4,28,0.0,0,Y,2019-04-28
2019,4,29,0.0,0,Y,2019-04-29
2019,4,30,0.0,0,Y,2019-04-30
2019,5,1,0.0,0,N,2019-05-01
2019,5,2,0.0,0,N,2019-05-02
2019,5,3,12.6,1,N,2019-05-03
2019,5,4,9.2,1,N,2019-05-04
2019,5,5,0.0,0,N,2019-05-05
2019,5,6,0.0,0,N,2019-05-06
2019,5,7,0.0,0,N,2019-05-07
2019,5,8,2.4,1,N,2019-05-08
2019,5,9,0.0,0,N,2019-05-09
2019,5,10,0.0,0,N,2019-05-10
2019,5,11,13.2,1,N,2019-05-11
2019,5,12,0.0,0,N,2019-05-12
2019,5,13,0.0,0,N,2019-05-13
2019,5,14,0.0,0,N,2019-05-14
2019,5,15,0.0,0,N,2019-05-15
2019,5,16,0.0,0,N,2019-05-16
2019,5,17,0.0,0,N,2019-05-17
2019,5,18,0.0,0,N,2019-05-18
2019,5,19,0.0,0,N,2019-05-19
2019,5,20,0.0,0,N,2019-05-20
2019,5,21,0.0,0,N,2019-05-21
2019,5,22,0.0,0,N,2019-05-22
2019,5,23,0.0,0,N,2019-05-23
2019,5,24,0.0,0,N,2019-05-24
2019,5,25,0.0,0,N,2019-05-25
2019,5,26,0.0,0,N,2019-05-26
2019,5,27,8.0,1,N,2019-05-27
2019,5,28,2.2,1,N,2019-05-28
2019,5,29,0.0,0,N,2019-05-29
2019,5,30,0.0,0,N,2019-05-30
2019,5,31,0.0,0,N,2019-05-31
2019,6,1,0.0,0,N,2019-06-01
2019,6,2,0.0,0,N,2019-06-02
2019,6,3,6.2,1,N,2019-06-03
2019,6,4,0.0,0,N,2019-06-04
2019,6,5,0.0,0,N,2019-06-05
2019,6,6,0.0,0,N,2019-06-06
2019,6,7,0.0,0,N,2019-06-07
2019,6,8,0.0,0,N,2019-06-08
2019,6,9,0.0,0,N,2019-06-09
2019,6,10,4.2,1,N,2019-06-10
2019,6,11,0.0,0,N,2019-06-11
2019,6,12,0.0,0,N,2019-06-12
2019,6,13,3.0,1,N,2019-06-13
2019,6,14,0.0,0,N,2019-06-14
2019,6,15,0.0,0,N,2019-06-15
2019,6,16,0.0,0,N,2019-06-16
2019,6,17,0.0,0,N,2019-06-17
2019,6,18,0.0,0,N,2019-06-18
2019,6,19,0.0,0,N,2019-06-19
2019,6,20,0.0,0,N,2019-06-20
2019,6,21,0.0,0,N,2019-06-21
2019,6,22,0.0,0,N,2019-06-22
2019,6,23,0.0,0,N,2019-06-23
2019,6,24,0.0,0,N,2019-06-24
2019,6,25,0.0,0,N,2019-06-25
2019,6,26,0.0,0,N,2019-06-26
2019,6,27,0.0,0,N,2019-06-27
2019,6,28,0.0,0,N,2019-06-28
2019,6,29,0.0,0,N,2019-06-29
2019,6,30,9.0,1,N,2019-06-30
2019,7,1,0.0,0,Y,2019-07-01
2019,7,2,0.0,0,Y,2019-07-02
2019,7,3,0.0,0,Y,2019-07-03
2019,7,4,0.0,0,Y,2019-07-04
2019,7,5,0.0,0,Y,2019-07-05
2019,7,6,0.0,0,Y,2019-07-06
2019,7,7,0.0,0,Y,2019-07-07
2019,7,8,0.0,0,Y,2019-07-08
2019,7,9,0.0,0,Y,2019-07-09
2019,7,10,0.6,1,Y,2019-07-10
2019,7,11,1.8,1,Y,2019-07-11
2019,7,12,0.0,0,Y,2019-07-12
2019,7,13,1.3,0,,2019-07-13
2019,7,14,1.3,2,Y,2019-07-14
2019,7,15,0.0,0,Y,2019-07-15
2019,7,16,0.0,0,Y,2019-07-16
2019,7,17,0.0,0,Y,2019-07-17
2019,7,18,0.0,0,Y,2019-07-18
2019,7,19,0.0,0,Y,2019-07-19
2019,7,20,0.0,0,Y,2019-07-20
2019,7,21,0.0,0,Y,2019-07-21
2019,7,22,0.0,0,Y,2019-07-22
2019,7,23,0.0,0,Y,2019-07-23
2019,7,24,0.0,0,Y,2019-07-24
2019,7,25,0.0,0,Y,2019-07-25
2019,7,26,0.0,0,Y,2019-07-26
2019,7,27,0.0,0,Y,2019-07-27
2019,7,28,0.0,0,Y,2019-07-28
2019,7,29,0.0,0,Y,2019-07-29
2019,7,30,0.0,0,Y,2019-07-30
2019,7,31,0.0,0,Y,2019-07-31
2019,8,1,0.0,0,Y,2019-08-01
2019,8,2,0.0,0,Y,2019-08-02
2019,8,3,0.0,0,Y,2019-08-03
2019,8,4,0.0,0,Y,2019-08-04
2019,8,5,0.0,0,Y,2019-08-05
2019,8,6,0.0,0,Y,2019-08-06
2019,8,7,0.0,0,Y,2019-08-07
2019,8,8,0.0,0,Y,2019-08-08
2019,8,9,3.75,0,,2019-08-09
2019,8,10,3.75,0,,2019-08-10
2019,8,11,3.75,0,,2019-08-11
2019,8,12,3.75,4,Y,2019-08-12
2019,8,13,0.0,0,Y,2019-08-13
2019,8,14,0.0,0,Y,2019-08-14
2019,8,15,0.0,0,Y,2019-08-15
2019,8,16,0.0,0,Y,2019-08-16
2019,8,17,0.0,0,Y,2019-08-17
2019,8,18,0.0,0,Y,2019-08-18
2019,8,19,2.4,1,Y,2019-08-19
2019,8,20,0.0,0,Y,2019-08-20
2019,8,21,0.0,0,Y,2019-08-21
2019,8,22,0.0,0,Y,2019-08-22
2019,8,23,0.0,0,Y,2019-08-23
2019,8,24,0.0,0,Y,2019-08-24
2019,8,25,0.0,0,Y,2019-08-25
2019,8,26,0.0,0,Y,2019-08-26
2019,8,27,0.0,0,Y,2019-08-27
2019,8,28,0.0,0,Y,2019-08-28
2019,8,29,0.0,0,Y,2019-08-29
2019,8,30,0.0,0,Y,2019-08-30
2019,8,31,0.0,0,Y,2019-08-31
2019,9,1,0.0,0,N,2019-09-01
2019,9,2,0.0,0,N,2019-09-02
2019,9,3,0.0,0,N,2019-09-03
2019,9,4,0.0,0,N,2019-09-04
2019,9,5,0.0,0,N,2019-09-05
2019,9,6,0.0,0,N,2019-09-06
2019,9,7,0.0,0,N,2019-09-07
2019,9,8,3.8,1,N,2019-09-08
2019,9,9,0.0,0,N,2019-09-09
2019,9,10,0.0,0,N,2019-09-10
2019,9,11,0.0,0,N,2019-09-11
2019,9,12,0.0,0,N,2019-09-12
2019,9,13,0.0,0,N,2019-09-13
2019,9,14,0.0,0,N,2019-09-14
2019,9,15,0.0,0,N,2019-09-15
2019,9,16,22.8,1,N,2019-09-16
2019,9,17,0.0,0,N,2019-09-17
2019,9,18,0.0,0,N,2019-09-18
2019,9,19,0.0,0,N,2019-09-19
2019,9,20,0.0,0,N,2019-09-20
2019,9,21,4.6,1,N,2019-09-21
2019,9,22,0.0,0,N,2019-09-22
2019,9,23,0.0,0,N,2019-09-23
2019,9,24,0.0,0,N,2019-09-24
2019,9,25,0.0,0,N,2019-09-25
2019,9,26,0.0,0,N,2019-09-26
2019,9,27,0.0,0,N,2019-09-27
2019,9,28,0.0,0,N,2019-09-28
2019,9,29,0.0,0,N,2019-09-29
2019,9,30,0.0,0,N,2019-09-30
2019,10,1,0.0,0,Y,2019-10-01
2019,10,2,0.0,0,Y,2019-10-02
2019,10,3,0.0,0,Y,2019-10-03
2019,10,4,0.0,0,Y,2019-10-04
2019,10,5,0.0,0,Y,2019-10-05
2019,10,6,0.0,0,Y,2019-10-06
2019,10,7,0.0,0,Y,2019-10-07
2019,10,8,0.0,0,Y,2019-10-08
2019,10,9,5.5,1,Y,2019-10-09
2019,10,10,0.0,0,Y,2019-10-10
2019,10,11,0.0,0,Y,2019-10-11
2019,10,12,0.0,0,Y,2019-10-12
2019,10,13,0.0,0,Y,2019-10-13
2019,10,14,0.0,0,Y,2019-10-14
2019,10,15,0.0,0,Y,2019-10-15
2019,10,16,0.0,0,Y,2019-10-16
2019,10,17,2.8,1,Y,2019-10-17
2019,10,18,0.0,0,Y,2019-10-18
2019,10,19,0.0,0,Y,2019-10-19
2019,10,20,0.0,0,Y,2019-10-20
2019,10,21,0.0,0,Y,2019-10-21
2019,10,22,0.0,0,Y,2019-10-22
2019,10,23,0.0,0,Y,2019-10-23
2019,10,24,0.0,0,Y,2019-10-24
2019,10,25,0.0,0,Y,2019-10-25
2019,10,26,7.0,1,Y,2019-10-26
2019,10,27,0.0,0,Y,2019-10-27
2019,10,28,0.0,0,Y,2019-10-28
2019,10,29,0.0,0,Y,2019-10-29
2019,10,30,0.0,0,Y,2019-10-30
2019,10,31,0.0,0,Y,2019-10-31
2019,11,1,0.0,0,Y,2019-11-01
2019,11,2,0.0,0,Y,2019-11-02
2019,11,3,0.0,0,Y,2019-11-03
2019,11,4,14.4,1,Y,2019-11-04
2019,11,5,0.0,0,Y,2019-11-05
2019,11,6,0.0,0,Y,2019-11-06
2019,11,7,0.0,0,Y,2019-11-07
2019,11,8,0.0,0,Y,2019-11-08
2019,11,9,0.0,0,Y,2019-11-09
2019,11,10,0.0,0,Y,2019-11-10
2019,11,11,0.0,0,Y,2019-11-11
2019,11,12,0.0,0,Y,2019-11-12
2019,11,13,0.0,0,Y,2019-11-13
2019,11,14,0.0,0,Y,2019-11-14
2019,11,15,0.0,0,Y,2019-11-15
2019,11,16,0.0,0,Y,2019-11-16
2019,11,17,0.0,0,Y,2019-11-17
2019,11,18,0.0,0,Y,2019-11-18
2019,11,19,0.0,0,Y,2019-11-19
2019,11,20,0.0,0,Y,2019-11-20
2019,11,21,0.0,0,Y,2019-11-21
2019,11,22,0.0,0,Y,2019-11-22
2019,11,23,0.0,0,Y,2019-11-23
2019,11,24,0.0,0,Y,2019-11-24
2019,11,25,0.0,0,Y,2019-11-25
2019,11,26,0.0,0,Y,2019-11-26
2019,11,27,0.0,0,Y,2019-11-27
2019,11,28,0.0,0,Y,2019-11-28
2019,11,29,0.0,0,Y,2019-11-29
2019,11,30,0.0,0,Y,2019-11-30
2019,12,1,0.0,0,N,2019-12-01
2019,12,2,1.8,1,N,2019-12-02
2019,12,3,0.0,0,N,2019-12-03
2019,12,4,0.0,0,N,2019-12-04
2019,12,5,0.0,0,N,2019-12-05
2019,12,6,0.0,0,N,2019-12-06
2019,12,7,0.0,0,N,2019-12-07
2019,12,8,0.0,0,N,2019-12-08
2019,12,9,0.0,0,N,2019-12-09
2019,12,10,0.0,0,N,2019-12-10
2019,12,11,0.0,0,N,2019-12-11
2019,12,12,0.0,0,N,2019-12-12
2019,12,13,0.0,0,N,2019-12-13
2019,12,14,0.0,0,N,2019-12-14
2019,12,15,0.0,0,N,2019-12-15
2019,12,16,0.0,0,N,2019-12-16
2019,12,17,0.0,0,N,2019-12-17
2019,12,18,0.0,0,N,2019-12-18
2019,12,19,0.0,0,N,2019-12-19
2019,12,20,0.0,0,N,2019-12-20
2019,12,21,0.0,0,N,2019-12-21
2019,12,22,0.0,0,N,2019-12-22
2019,12,23,0.0,0,N,2019-12-23
2019,12,24,0.0,0,N,2019-12-24
2019,12,25,0.0,0,N,2019-12-25
2019,12,26,0.0,0,N,2019-12-26
2019,12,27,0.0,0,N,2019-12-27
2019,12,28,0.0,0,N,2019-12-28
2019,12,29,0.0,0,N,2019-12-29
2019,12,30,0.0,0,N,2019-12-30
2019,12,31,0.0,0,N,2019-12-31
